,Unnamed: 0,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,0,GBM_2_AutoML_20190420_162320,0.9167713052205444,0.2988132947059966,0.18276475913477147,0.30827402337183074,0.09503287348585604
1,4,StackedEnsemble_BestOfFamily_AutoML_20190420_162320,0.9159206037779684,0.3156557961586041,0.18388153701368987,0.31231640127590765,0.09754153450593377
2,16,XRT_1_AutoML_20190420_162320,0.905568070606558,0.31657414266616724,0.193301369663164,0.3170336000763569,0.10051030357737543
3,17,DeepLearning_1_AutoML_20190420_162320,0.9043172199206604,0.3227561689061737,0.18950699074018265,0.3207262171009445,0.1028653063358822
4,20,DRF_1_AutoML_20190420_162320,0.9032229600369952,0.33926722269152,0.19482590104193168,0.3187801870206122,0.10162080763689653
5,26,GLM_grid_1_AutoML_20190420_162320_model_1,0.8988839475422828,0.3296921157353482,0.19800530932322727,0.3244083587744517,0.1052407832427334
0,0,GBM_2_AutoML_20190420_151756,0.9175248934906078,0.2977670091853153,0.17851508398817278,0.3079240978675429,0.09481725004754013
1,4,StackedEnsemble_BestOfFamily_AutoML_20190420_151756,0.9164346015457668,0.3142686990292805,0.18012540736286628,0.3118983153356605,0.09728055910922316
2,28,DeepLearning_grid_1_AutoML_20190420_151756_model_3,0.907720568029672,0.3196664869302731,0.1853243341494092,0.3177480387297623,0.10096381611661054
3,29,XRT_1_AutoML_20190420_151756,0.9074725177344468,0.3140892357958497,0.1953398078442143,0.3157924752185459,0.09972488740465596
4,33,DRF_1_AutoML_20190420_151756,0.9055365654486466,0.3337572586758292,0.18986429637707264,0.3171899834555413,0.10060948560452657
5,44,GLM_grid_1_AutoML_20190420_151756_model_1,0.8997840513201187,0.3283672141329373,0.19194788454338946,0.3241499568204841,0.1050731945067217
0,0,GBM_1_AutoML_20190420_135144,0.9175225329930484,0.2978590951536187,0.18165902723296826,0.307723976508469,0.09469404571818477
1,4,StackedEnsemble_BestOfFamily_AutoML_20190420_135144,0.9165588028670996,0.31410496211009004,0.179909310144358,0.3117265415905567,0.09717343673200908
2,8,DRF_1_AutoML_20190420_135144,0.9057315172148726,0.33236582503535705,0.1924315401301224,0.3170651487915557,0.10053030857821137
3,9,DeepLearning_1_AutoML_20190420_135144,0.9047232704078804,0.3198022614548249,0.1888999559761448,0.3198051454803232,0.10227533107569067
4,10,XRT_1_AutoML_20190420_135144,0.9022221781596012,0.33351500388084904,0.1898357942326412,0.3191698260172631,0.10186937783988996
5,11,GLM_grid_1_AutoML_20190420_135144_model_1,0.8997840513201187,0.3283672141329373,0.19194788454338946,0.3241499568204841,0.1050731945067217
